Provider,DataSource,Title,Lines,Start,End,Link,aiSummary
קווים,scan-export,"זמני נסיעות לחג הפסח תשפ""ו - ביתר עילית",—,01.04.26,01.04.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/310320260,
קווים,scan-export,ביטול קו 238 עקב סגירת קבר רחל,"238 — ביתר עילית, ירושלים, 238 — ירושלים, ביתר עילית",25.03.26,25.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/29032026,
קווים,scan-export,שינויים בתחנות בקו 239,"239 — ביתר עילית, ירושלים, 239 — ירושלים, ביתר עילית",27.03.26,27.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/26032026,
קווים,scan-export,שינויים בתחנת סיום בקווים 226-239-246 מכיוון ביתר לירושלים,"226 — ביתר עילית, ירושלים, 226 — ירושלים, ביתר עילית, 246 — ירושלים, ביתר עילית, 239 — מודיעין עילית, בני ברק, 239 — בני ברק, מודיעין עילית, 246 — ביתר עילית, ירושלים",15.03.26,15.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/12032026,
קווים,scan-export,"ביתר עילית- זמני נסיעות לימי שישי ומוצ""ש",—,06.03.26,06.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/05032026,
קווים,scan-export,"זמני נסיעות עדכניים לחג הפסח תשפ""ו - מודיעין עילית",—,01.04.26,01.04.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/31032026,
קווים,scan-export,"תל אביב, עבודות תשתית רוזנפלד במקטע ג'ורג' ווייז - חיים לבנון לשני הכיוונים, 05-07.04.2026","474 — לוד, תל אביב יפו, 474 — תל אביב יפו, לוד, 464 — לוד, תל אביב יפו, 464 — תל אביב יפו, לוד, 506 — שוהם, תל אביב יפו, 506 — תל אביב יפו, שוהם, 450 — רמלה, תל אביב יפו, 450 — תל אביב יפו, רמלה, 107 — מודיעין מכבים רעות, תל אביב יפו, 107 — תל אביב יפו, מודיעין מכבים רעות",05.04.26,05.04.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/update_13999539303,
קווים,scan-export,"מודיעין- עבודות ברחוב עמק איילון, שינויים בקווים: 51/53/54/58/33",—,12.04.26,12.04.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/27032026,
קווים,scan-export,"תל אביב, עבודות תשתית, רחוב שלום רוזנפלד 23-26.03 + 29-31.03 + 01-02.04 + 05.04","506 — שוהם, תל אביב יפו, 506 — תל אביב יפו, שוהם",23.03.26,23.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/update_13987154589,
קווים,scan-export,מודיעין עילית- זמני נסיעות שישי ושבת,—,20.03.26,20.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/19032026,
קווים,scan-export,שינויים בתחנות בקווים 308.318.328.338.348,"348 — מודיעין עילית, ירושלים, 348 — ירושלים, מודיעין עילית, 308 — מודיעין עילית, ירושלים, 308 — ירושלים, מודיעין עילית, 318 — מודיעין עילית, ירושלים, 318 — ירושלים, מודיעין עילית, 328 — מודיעין עילית, ירושלים, 328 — ירושלים, מודיעין עילית, 338 — מודיעין עילית, ירושלים, 338 — ירושלים, מודיעין עילית",15.03.26,15.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/120326,
קווים,scan-export,"ירושלים-עבודות ברחובות מח""ל וקרל-נטר ,שחנוחחם בקווים: 308/318/328/338/348/246/226/239","348 — מודיעין עילית, ירושלים, 226 — ביתר עילית, ירושלים, 226 — ירושלים, ביתר עילית, 239 — ביתר עילית, ירושלים, 239 — ירושלים, ביתר עילית, 246 — ביתר עילית, ירושלים, 246 — ירושלים, ביתר עילית, 348 — ירושלים, מודיעין עילית, 308 — מודיעין עילית, ירושלים, 308 — ירושלים, מודיעין עילית, 318 — מודיעין עילית, ירושלים, 318 — ירושלים, מודיעין עילית, 328 — מודיעין עילית, ירושלים, 328 — ירושלים, מודיעין עילית, 338 — מודיעין עילית, ירושלים, 338 — ירושלים, מודיעין עילית",15.03.26,15.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/11032026,
קווים,scan-export,"מודיעין עילית- זמני נסיעות לימי שישי ומוצ""ש",—,06.03.26,06.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/05032026,
קווים,scan-export,"קרית אתא, הוספת תחנת הורדה בקו 781","781 — כרמיאל, מודיעין עילית, 781 — מודיעין עילית, כרמיאל",01.04.26,01.04.26,https://www.kavim-t.com/passenger-information/traffic-updates/hadera-netanya-updates/31032026,